Electricity generation total (kilowatt-hours);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Mexico;1,22,44,90,00,000.00;1,26,80,70,00,000.00;1,30,10,30,00,000.00;1,35,02,60,00,000.00;1,45,98,70,00,000.00;1,52,54,80,00,000.00;1,62,52,60,00,000.00;1,75,14,90,00,000.00;1,81,80,10,00,000.00;1,92,26,70,00,000.00;2,04,37,30,00,000.00;2,09,64,20,00,000.00;2,14,10,10,00,000.00;2,16,97,70,00,000.00;2,22,00,90,00,000.00;2,33,07,80,00,000.00;2,44,92,00,00,000.00;2,53,69,10,00,000.00;2,56,75,10,00,000.00
Netherlands;71,86,60,00,000.00;74,25,20,00,000.00;77,20,20,00,000.00;76,99,20,00,000.00;79,64,70,00,000.00;81,04,80,00,000.00;85,04,80,00,000.00;86,57,30,00,000.00;90,84,00,00,000.00;86,68,00,00,000.00;89,46,70,00,000.00;93,72,00,00,000.00;96,29,00,00,000.00;96,70,50,00,000.00;1,02,44,00,00,000.00;1,00,42,40,00,000.00;98,83,50,00,000.00;1,05,16,40,00,000.00;1,07,59,90,00,000.00
New Zealand;32,14,70,00,000.00;33,35,20,00,000.00;32,72,70,00,000.00;34,09,20,00,000.00;34,92,29,00,000.00;35,99,81,00,000.00;36,40,19,00,000.00;37,15,34,00,000.00;37,33,42,00,000.00;37,79,99,00,000.00;39,26,89,00,000.00;39,68,97,00,000.00;40,63,08,00,000.00;40,82,06,00,000.00;42,50,75,00,000.00;42,96,50,00,000.00;43,59,61,00,000.00;43,75,78,00,000.00;43,72,57,00,000.00
Norway;1,21,84,80,00,000.00;1,11,00,90,00,000.00;1,17,50,60,00,000.00;1,20,09,50,00,000.00;1,13,48,80,00,000.00;1,23,19,30,00,000.00;1,04,75,50,00,000.00;1,11,63,60,00,000.00;1,16,98,30,00,000.00;1,22,66,00,00,000.00;1,42,98,40,00,000.00;1,21,92,00,00,000.00;1,30,60,00,00,000.00;1,07,27,40,00,000.00;1,10,60,21,71,000.00;1,38,07,26,21,000.00;1,21,66,33,07,000.00;1,37,70,85,63,000.00;1,42,66,70,18,000.00
Pakistan;45,98,50,00,000.00;50,22,00,00,000.00;53,57,50,00,000.00;57,01,20,00,000.00;57,92,30,00,000.00;63,75,00,00,000.00;67,56,50,00,000.00;62,48,10,00,000.00;66,39,60,00,000.00;65,30,20,00,000.00;64,65,00,00,000.00;75,12,10,00,000.00;81,63,70,00,000.00;84,48,80,00,000.00;88,65,80,00,000.00;87,10,70,00,000.00;96,22,60,00,000.00;98,78,90,00,000.00;95,10,10,00,000.00
Peru;13,80,80,00,000.00;14,48,20,00,000.00;13,12,20,00,000.00;14,80,80,00,000.00;15,86,60,00,000.00;16,14,40,00,000.00;17,27,98,00,000.00;17,95,34,00,000.00;18,58,25,00,000.00;19,04,96,00,000.00;19,92,25,00,000.00;20,78,55,00,000.00;21,98,23,00,000.00;22,92,33,00,000.00;24,26,70,00,000.00;25,51,00,00,000.00;27,37,00,00,000.00;29,94,30,00,000.00;32,62,70,00,000.00
Philippines;26,32,70,00,000.00;25,64,90,00,000.00;25,87,00,00,000.00;26,57,90,00,000.00;30,45,90,00,000.00;33,55,40,00,000.00;36,70,80,00,000.00;39,79,70,00,000.00;41,57,80,00,000.00;41,43,20,00,000.00;45,29,00,00,000.00;47,04,90,00,000.00;48,46,70,00,000.00;52,94,10,00,000.00;55,95,70,00,000.00;56,56,77,40,000.00;56,78,41,29,701.00;59,61,17,87,905.00;59,61,61,36,034.00
Poland;1,36,36,40,00,000.00;1,34,71,20,00,000.00;1,32,72,80,00,000.00;1,33,86,70,00,000.00;1,35,35,00,00,000.00;1,39,00,60,00,000.00;1,43,17,30,00,000.00;1,42,76,90,00,000.00;1,42,77,10,00,000.00;1,42,12,80,00,000.00;1,45,18,30,00,000.00;1,45,65,50,00,000.00;1,44,12,60,00,000.00;1,51,63,10,00,000.00;1,54,15,90,00,000.00;1,56,93,60,00,000.00;1,61,74,20,00,000.00;1,59,34,80,00,000.00;1,54,60,70,00,000.00
Portugal;28,50,00,00,000.00;29,87,10,00,000.00;30,08,70,00,000.00;31,20,50,00,000.00;31,38,00,00,000.00;33,26,30,00,000.00;34,52,10,00,000.00;34,20,80,00,000.00;38,98,40,00,000.00;43,28,70,00,000.00;43,76,40,00,000.00;46,50,90,00,000.00;46,10,70,00,000.00;46,85,20,00,000.00;45,10,50,00,000.00;46,58,50,00,000.00;49,04,10,00,000.00;47,44,10,00,000.00;46,11,40,00,000.00
Qatar;4,84,20,00,000.00;4,66,90,00,000.00;5,18,30,00,000.00;5,56,00,00,000.00;5,85,00,00,000.00;6,01,30,00,000.00;6,61,50,00,000.00;6,91,00,00,000.00;8,16,60,00,000.00;8,93,90,00,000.00;9,13,40,00,000.00;9,95,10,00,000.00;10,94,00,00,000.00;12,01,20,00,000.00;13,23,30,00,000.00;14,39,60,00,000.00;15,32,50,00,000.00;17,50,10,00,000.00;19,70,60,00,000.00
